License_Number,Business_Name,Legal_Name,License_Type,Status,Expiration_Date,Street,City,State,ZIP,County,Endorsement,SOS_Registration_Number
050-3054,Smooth Roots Multnomah,SR OREGON MULTNOMAH LLC,RECREATIONAL RETAILER,ACTIVE,04/03/2027,3005,Sw Multnomah Blvd Portland,OR,97219-3701,Multnomah,Marijuana Home Delivery,
050-3059,Tumbleweed Cannabis Co.,NEW FRONTIER LLC,RECREATIONAL RETAILER,ACTIVE,04/04/2027,310 HIGHWAY 20,N Hines,OR,97738,Harney,Marijuana Home Delivery,
050-3131,Terpene Station,ADDISIAN LLC,RECREATIONAL RETAILER,EXPIRED,04/30/2025,645 RIVER RD STE 3,Eugene,OR,97404-3288,Lane,Medical Marijuana Retailer,
050-3134,High Lakes Cannabis Company,HIGH LAKES CANNABIS COMPANY LLC,RECREATIONAL RETAILER,ACTIVE,*,593 JACKSON ST E 597,Jackson St E Monmouth,OR,97361-1513,Polk,Marijuana Home Delivery,
050-3480,The Farmers Daughters,THE FARMERS DAUGHTERS DISPENSARY LLC,RECREATIONAL RETAILER,ACTIVE,05/20/2026,1025 CHETCO AVE # 4,,OR,,,,
050-3658,Stone Age Farmacy,NEW FRONTIER LLC,RECREATIONAL RETAILER,ACTIVE,06/02/2026,8621,Sw Canyon Dr Portland,OR,97225-3436,Washington,Marijuana Home Delivery,
050-3716,Emerald Triangle Dispensary,ZACHARY KOHLER,RECREATIONAL RETAILER,ACTIVE,*,3388,Merlin Rd Grants Pass,OR,97526-8421,Josephine,Marijuana Home Delivery,
050-3904,Minions,MINIONS LLC,RECREATIONAL RETAILER,ACTIVE,07/27/2026,3700 RIVER RD N STE 9,,OR,,,,
050-3915,Stinkin Budz,SWEET ANGEL LLC,RECREATIONAL RETAILER,ACTIVE,07/30/2026,1040,Commercial St Se Salem,OR,97302-4112,Marion,Medical Marijuana Retailer,
050-4560,ADNA,NEW FRONTIER LLC,RECREATIONAL RETAILER,ACTIVE,08/29/2026,1681 W 7TH,Ave Eugene,OR,97402-4309,Benton,Marijuana Home Delivery,
050-4747,Twenty After Four Wellness,420 BLAIR BLVD.CORP,RECREATIONAL RETAILER,ACTIVE,09/04/2026,420 BLAIR BLVD UNIT A,,OR,,,,
050-4903,Verdaze,MGF HOLDINGS LLC,RECREATIONAL RETAILER,ACTIVE,09/08/2026,7501 SW CAPITOL HWY STE A,,OR,,,,
050-5503,Sensible Cannabis Company,PAC NW VENTURES LLC,RECREATIONAL RETAILER,ACTIVE,09/23/2026,1917 SE 7TH,Ave Portland,OR,97214-4601,Multnomah,Marijuana Home Delivery,
050-5608,Home Grown Apothecary,CELESTIAL LION LLC.,RECREATIONAL RETAILER,ACTIVE,09/25/2026,1937,Ne Pacific St Portland,OR,97232-2211,Multnomah,Marijuana Home Delivery,
050-6040,The Bakery,KIT JOHNSTON,RECREATIONAL RETAILER,ACTIVE,10/07/2026,160 W 3RD,St Lafayette,OR,97127-9165,Yamhill,Marijuana Home Delivery,
050-6104,Stone Age Farmacy,NEW FRONTIER LLC,RECREATIONAL RETAILER,ACTIVE,10/08/2026,12550,Se Division St Portland,OR,97236-3130,Multnomah,Medical Marijuana Retailer,
050-6674,Thur's Smoke Shop,THUR'S SMOKE SHOP LLC,RECREATIONAL RETAILER,ACTIVE,10/24/2026,2380,N Verde Dr Ontario,OR,97914-1102,Malheur,Marijuana Home Delivery,
050-6822,ASAP Buds Collective,HABIBI HOLDINGS LLC,RECREATIONAL RETAILER,ACTIVE,10/29/2026,105 NE 8TH AVE STE B,,OR,,,,
050-7275,Herbal Choices,NP RETAIL INC,RECREATIONAL RETAILER,ACTIVE,11/10/2026,1110 13TH,St Se Salem,OR,97302-2598,Marion,Medical Marijuana Retailer,
050-7694,The Weeds,APEQN CORPORATION,RECREATIONAL RETAILER,ACTIVE,11/20/2026,2175,S Santiam Hwy Lebanon,OR,97355-3045,Linn,Marijuana Home Delivery,
050-7974,FYRE,THUROW PRODUCTIONS LLC,RECREATIONAL RETAILER,ACTIVE,12/01/2025,2650,Ne Division St Bend,OR,97703-3569,Deschutes,Marijuana Home Delivery,
050-8703,Sensible Cannabis Co,PAC NW VENTURES LLC,RECREATIONAL RETAILER,ACTIVE,12/25/2026,10655 SE 42ND,Ave Milwaukie,OR,97222-5251,Clackamas,Medical Marijuana Retailer,
050-8714,Mystic Moss,MYSTIC MOSS LLC,RECREATIONAL RETAILER,ACTIVE,12/25/2026,119 SW 4TH,St Corvallis,OR,97333-4711,Benton,Marijuana Home Delivery,
050-9260,Up N Smoke,HASHIRE LLC,RECREATIONAL RETAILER,ACTIVE,01/15/2026,1487,Broadway St Ne Salem,OR,97301-1427,Marion,Marijuana Home Delivery,226580496
050-9549,Hash It Out,HASH IT OUT LLC,RECREATIONAL RETAILER,ACTIVE,01/27/2027,783,S Broadway Coos Bay,OR,97420-1541,Coos,Marijuana Home Delivery,01861205-7
050-9985,Space Camp,SPACE CAMP LLC,RECREATIONAL RETAILER,ACTIVE,02/06/2027,7536,Ne Martin Luther King Blvd Portland,OR,97211-2830,Multnomah,Marijuana Home Delivery,
050-11620,A&B,A&B RETAIL CONCEPTS LLC,RECREATIONAL RETAILER,ACTIVE,03/25/2027,4565 NE 60TH,Ave Portland,OR,97218-2606,Multnomah,Marijuana Home Delivery,
050-11681,Moss Crossing,MOSS CROSS LLC,RECREATIONAL RETAILER,ACTIVE,03/26/2027,2751,Friendly St Eugene,OR,97405-2254,Lane,Marijuana Home Delivery,01867640-7
050-12602,TJ's Downtown Eugene,TJ'S DOWNTOWN EUGENE LLC,RECREATIONAL RETAILER,ACTIVE,04/17/2026,1027,Willamette St Eugene,OR,97401-3113,Lane,Marijuana Home Delivery,
050-12696,Truth Dispensary,HERBAL REMEDIES 2 INC,RECREATIONAL RETAILER,ACTIVE,04/20/2026,1025,Lancaster Dr Se Salem,OR,97317-5836,Marion,Marijuana Home Delivery,
050-12752,Cookies,L&M CO LLC,RECREATIONAL RETAILER,ACTIVE,04/21/2026,1158 HIGH ST STE 101,,OR,,,,
050-13324,Substance,BLOOM WELL INC,RECREATIONAL RETAILER,ACTIVE,*,315 2ND,Ave Gold Hill,OR,97525-9509,Jackson,Marijuana Home Delivery,
050-13327,Substance,BLOOM WELL INC,RECREATIONAL RETAILER,ACTIVE,*,1526,Siskiyou Blvd Ashland,OR,97520-2406,Jackson,Marijuana Home Delivery,
050-13921,WEST COAST ORGANICS,LUCKY NUMBER 7 LLC,RECREATIONAL RETAILER,ACTIVE,05/14/2026,855,Railroad St Brookings,OR,97415-9697,Curry,,01881998-6
050-14106,High Quality,HQ II LLC,RECREATIONAL RETAILER,ACTIVE,05/19/2026,580,Sw Twin Oaks Cir Corvallis,OR,97333-1115,Benton,Marijuana Home Delivery,
050-14145,Medizen,VWC HOLDINGS,RECREATIONAL RETAILER,ACTIVE,05/20/2026,4069 NE MARTIN LUTHER KING JR BLVD STE A,,OR,,,,
050-14165,Sugarbud,KOLA BRAND LLC,RECREATIONAL RETAILER,INACTIVE,05/21/2026,18066,Ne Airport Way Gresham,OR,97230,Multnomah,Marijuana Home Delivery,017224987
050-14360,Bud’s,AVE MARIA LLC,RECREATIONAL RETAILER,ACTIVE,05/22/2026,101,S Riverside Ave Medford,OR,97501-7234,Jackson,Medical Marijuana Retailer,
050-14983,SkunkRX,ROGUE RIVER FAMILY FARMS LLC,RECREATIONAL RETAILER,ACTIVE,06/08/2026,8979,Rogue River Hwy Ste B Grants Pass,OR,97527-4377,Jackson,Medical Marijuana Retailer,
050-15299,Oregon Cannabis Mart,PARRISH LLC,RECREATIONAL RETAILER,ACTIVE,*,10055,Ne Glisan St Portland,OR,97220-4455,Multnomah,,
050-15715,Emerald Triangle Dispensary,NORTH STAR CANNABIS LLC,RECREATIONAL RETAILER,ACTIVE,06/23/2026,838,Pacific Blvd Se Albany,OR,97321-3207,Linn,Marijuana Home Delivery,01867348-2
050-16049,CBN Astoria,CBN ASTORIA INC,RECREATIONAL RETAILER,ACTIVE,07/01/2026,1169,Commercial St Astoria,OR,97103-4125,Clatsop,Marijuana Home Delivery,
050-16398,Green Lion,MISS ORGANIC LLC,RECREATIONAL RETAILER,ACTIVE,07/09/2026,17030,Se Mcloughlin Blvd Portland,OR,97267-4960,Clackamas,Marijuana Home Delivery,
050-16507,Sandy Retail,THE SESSION LLC,RECREATIONAL RETAILER,ACTIVE,07/13/2026,7420,Ne Sandy Blvd Portland,OR,97213-5760,Multnomah,Medical Marijuana Retailer,
050-17171,Flavel Flave LLC,BROTHERS CANNABIS CLUB LLC,RECREATIONAL RETAILER,ACTIVE,07/28/2026,8124 SE 6TH,Ave Portland,OR,97202-6861,Multnomah,,
050-17322,The Toke Shop LLC,THE TOKE SHOP LLC,RECREATIONAL RETAILER,ACTIVE,07/30/2026,1853 2ND,St Springfield,OR,97477-2121,Lane,,
050-18553,Canna Bros.,RIVERGLASS SHOP LLC,RECREATIONAL RETAILER,ACTIVE,09/03/2026,140,Detroit Ave Detroit,OR,97342,Marion,Medical Marijuana Retailer,
050-18769,Very Good Plus,NOW OPEN LLC,RECREATIONAL RETAILER,ACTIVE,09/08/2026,809,Ne Harlow Rd Troutdale,OR,97060-9511,Multnomah,,OR
050-18963,Jayne,HERBAN LLC,RECREATIONAL RETAILER,ACTIVE,09/14/2026,2145,Ne Martin Luther King Jr Blvd Portland,OR,97212-3725,Multnomah,Marijuana Home Delivery,
050-19136,High Quality,HQ II LLC,RECREATIONAL RETAILER,ACTIVE,09/17/2026,1435 NW 9TH ST STE 120,,OR,,,,
050-20085,Green Gratitude,HERBAN LLC,RECREATIONAL RETAILER,ACTIVE,10/16/2026,10322,Se Holgate Blvd Portland,OR,97266-2421,Multnomah,Marijuana Home Delivery,
050-20408,TJ's By the Bridge,TJ'S BY THE BRIDGE LLC,RECREATIONAL RETAILER,ACTIVE,10/27/2026,729,Se Powell Blvd Portland,OR,97202,Multnomah,Marijuana Home Delivery,
050-20611,Newport Cannabis,PARKER W. HOLDINGS LLC,RECREATIONAL RETAILER,ACTIVE,11/02/2026,157 NW 15TH,St Newport,OR,97365-2369,Lincoln,Medical Marijuana Retailer,
050-20850,Sessions,DAB FACTORY LLC,RECREATIONAL RETAILER,ACTIVE,11/09/2026,48122 HIGHWAY 58 # A,,OR,,,,
050-21626,Oregon Cannabis Mart,PARRISH LLC,RECREATIONAL RETAILER,ACTIVE,12/01/2026,85938 HIGHWAY 99,S Eugene,OR,97405-9603,Lane,,
050-22084,Canna Bros. McMinnville,RIVERGLASS SHOP LLC,RECREATIONAL RETAILER,ACTIVE,12/17/2026,2215,Ne Evans St Mcminnville,OR,97128-2703,Yamhill,Medical Marijuana Retailer,
050-22201,Portal 541,PORTAL 541 LLC,RECREATIONAL RETAILER,ACTIVE,12/23/2026,1936,Main St Springfield,OR,97477-5054,Lane,Marijuana Home Delivery,
050-22259,Lucky Piff Eugene LLC,LUCKY PIFF EUGENE LLC,RECREATIONAL RETAILER,ACTIVE,12/29/2026,2164 W 7TH,Ave Eugene,OR,97402-7601,Lane,Marijuana Home Delivery,
050-22406,Red Barn Dispensary,RB DISPENSARY 8 LLC,RECREATIONAL RETAILER,ACTIVE,01/06/2027,1024 COURT ST STE D,,OR,,,,
050-22768,Broadway Cannabis Market,BROADWAY PROJECT INC.,RECREATIONAL RETAILER,ACTIVE,01/19/2027,11030 SW Capitol Hwy Portland,,OR,,,,01768553-2
050-23224,GREEN FRONT,J.T.W. II LLC,RECREATIONAL RETAILER,ACTIVE,01/30/2027,2046 NE HIGHWAY 99W,Ste A Mcminnville,OR,97128-6290,Yamhill,Medical Marijuana Retailer,
050-23242,?Dreams Dispensary,DREAMS DISPENSARY LLC,RECREATIONAL RETAILER,ACTIVE,02/01/2027,1111,Willamette St Eugene,OR,97401-3512,Lane,Marijuana Home Delivery,01902811-5
050-23245,Dreams Dispensary,DREAMS DISPENSARY LLC,RECREATIONAL RETAILER,ACTIVE,02/01/2027,1000,Obie St Eugene,OR,97402-3054,Lane,Marijuana Home Delivery,01902811-5
050-23524,Refinery CC,ZS LLC,RECREATIONAL RETAILER,ACTIVE,02/09/2027,2707,Ne Broadway St Portland,OR,97232-1722,Multnomah,,01904882-5
050-24055,Elevated Wellness,ELEVATED WELLNESS LLC,RECREATIONAL RETAILER,ACTIVE,02/26/2027,4450 NE SANDY BLVD & 4460 NE SANDY BLVD,,OR,,,,
050-24249,Cookies PDX,GC3 LLC,RECREATIONAL RETAILER,ACTIVE,03/04/2027,7916,Se Division St Portland,OR,97206-1064,Multnomah,,
050-25463,Cannabis On Time,DISCOUNT CANNABIS SALEM LLC,RECREATIONAL RETAILER,ACTIVE,04/08/2027,1685,Lancaster Dr Ne Salem,OR,97301-1965,Marion,Marijuana Home Delivery,
050-25528,Green Room Dispensary,COPR INCORPORATED,RECREATIONAL RETAILER,ACTIVE,04/09/2027,5070 Commercial St SE STE 120,,OR,,,,
050-1000146ACE7,Happy Leaf,PACIFIC ECLIPSE NW LLC,RECREATIONAL RETAILER,ACTIVE,12/11/2026,1301,Ne Broadway St Portland,OR,97232-1235,Multnomah,Medical Marijuana Retailer,
050-1000162E337,Oregon's Finest,OREGON RESOURCES TRADING LLC,RECREATIONAL RETAILER,ACTIVE,09/30/2025,505,Ne Grand Ave Portland,OR,97232-2726,Multnomah,,
050-1000236A6D2,The Dispensary on 52nd,DICOT DERBY FARMS LLC,RECREATIONAL RETAILER,ACTIVE,12/13/2026,4452 SE 52ND,Ave Portland,OR,97206-3922,Multnomah,Marijuana Home Delivery,
050-1000365F3DF,Green Goddess Remedies,BAS ENTERPRISES LLC,RECREATIONAL RETAILER,ACTIVE,11/08/2026,5435,Sw Taylors Ferry Rd Portland,OR,97219-5880,Multnomah,Marijuana Home Delivery,
050-1000396C575,Kind Heart Collective,KIND HEART COLLECTIVE,RECREATIONAL RETAILER,ACTIVE,01/01/2027,8217,N Denver Ave Portland,OR,97217-6623,Multnomah,Medical Marijuana Retailer,
050-1000459CA6F,Evergreen Hood River,IRRU INVESTMENTS LLC,RECREATIONAL RETAILER,ACTIVE,11/20/2026,1408 13TH,St Hood River,OR,97031-1616,Hood River,Marijuana Home Delivery,
050-1000652B6CC,Oregon Bud Company LLC,OREGON BUD COMPANY LLC,RECREATIONAL RETAILER,ACTIVE,01/10/2027,3270 SW CEDAR HILLS BLVD BLVD 104,,OR,,,,
050-1000779DEF8,La Mota,LA MOTA 3 LLC,RECREATIONAL RETAILER,ACTIVE,11/08/2026,644,Se Cass Ave Roseburg,OR,97470-3155,Douglas,Marijuana Home Delivery,
050-1000929AF4B,Oregon's Herbal Remedies,OREGON'S HERBAL REMEDIES LLC,RECREATIONAL RETAILER,ACTIVE,12/31/2026,88344,Territorial Rd Veneta,OR,97487-9486,Lane,Marijuana Home Delivery,
050-1001367CE42,La Mota,LA MOTA 8 LLC,RECREATIONAL RETAILER,ACTIVE,12/27/2026,3695,Sw Elliott Pl Beaverton,OR,97003-5139,Washington,Marijuana Home Delivery,
050-1001576D112,Rogue River Herbal PMC,SHERYL RABITOY,RECREATIONAL RETAILER,INACTIVE,01/29/2026,1024 COURT ST STE D,,OR,,,,
050-1001606EE83,Serra Belmont,GW RETAIL BELMONT INC,RECREATIONAL RETAILER,ACTIVE,12/12/2026,2519,Se Belmont St Portland,OR,97214-2822,Multnomah,Marijuana Home Delivery,
050-1001649DE75,Top Shelf Cannabis,TOP SHELF CANNABIS INCORPORATED,RECREATIONAL RETAILER,ACTIVE,12/30/2026,353 SE BAKER ST STE C,,OR,,,,
050-1001843EA13,The Lucky Leaf,THE LUCKY LEAF LLC,RECREATIONAL RETAILER,ACTIVE,12/30/2026,208,Jersey St Silverton,OR,97381-1627,Marion,Marijuana Home Delivery,
050-1001915EA16,Twenty After Four Wellness Center,420 BLAIR BLVD LLC,RECREATIONAL RETAILER,INACTIVE,12/29/2024,420,Blair Blvd Eugene,OR,97402-4393,Lane,,
050-1002423E8DA,The Joint on State,ANCIENT REMEDIES LLC,RECREATIONAL RETAILER,ACTIVE,11/02/2025,2350,State St Salem,OR,97301-4542,Marion,Marijuana Home Delivery,
050-1002555FF29,Sweet Relief Tillamook,G. O. ENTERPRISES LLC,RECREATIONAL RETAILER,ACTIVE,12/31/2026,1906 1ST,St Tillamook,OR,97141-2204,Tillamook,Marijuana Home Delivery,
050-1002710CD3B,Emerald City Dispensary,OREGON EMERALD CITY LLC,RECREATIONAL RETAILER,EXPIRED,03/19/2025,50414,Columbia River Hwy Scappoose,OR,97056-4312,Columbia,Marijuana Home Delivery,
050-1002850B56E,Buds 4 U,BUDS4U LLC,RECREATIONAL RETAILER,INACTIVE,12/28/2026,1480,Rhododendron Dr Florence,OR,97439-7620,Lane,Marijuana Home Delivery,
050-1002983CE7E,La Mota,LA MOTA HOLLYWOOD LLC & ROSA CAZARES,RECREATIONAL RETAILER,ACTIVE,04/24/2025,4450 NE SANDY BLVD & 4460 NE SANDY BLVD,,OR,,,,
050-1003171DF64,Oregon Coast Dispensary Inc,OREGON COAST DISPENSARY INC,RECREATIONAL RETAILER,ACTIVE,01/01/2027,861,A Nw Beach Dr Newport,OR,97365-3548,Lincoln,Marijuana Home Delivery,
050-1003244C082,TRULY PURE,TRULY PURE LLC,RECREATIONAL RETAILER,ACTIVE,03/20/2027,1006 SE GRAND AVE STE 104,,OR,,,,
050-1003343AD7E,Natural Wonders,NATURAL WONDERS LLC,RECREATIONAL RETAILER,ACTIVE,01/12/2027,3831,Se Main St Portland,OR,97214-4332,Multnomah,Marijuana Home Delivery,
050-1003433A4EA,Gram Central Station,SERIOUS ENTERPRISES LLC,RECREATIONAL RETAILER,ACTIVE,03/30/2026,6430,Ne Martin Luther King Jr Blvd Portland,OR,97211-3032,Multnomah,Marijuana Home Delivery,
050-1003518CE3D,Deanz Greenz,"""BITE ONE""""S LIP LLC""",RECREATIONAL RETAILER,ACTIVE,12/27/2026,10415,Ne Sandy Blvd Portland,OR,97220-3364,Multnomah,Medical Marijuana Retailer,
050-1003636DAFA,Pacific Green,NORTHWEST GREENHOUSE LLC,RECREATIONAL RETAILER,ACTIVE,12/27/2026,710,Ne Killingsworth St Portland,OR,97211-3859,Multnomah,Marijuana Home Delivery,
050-1003813BCA1,Positive Vibrations,GREGORY C. PIERCE || LINDA F. PIERCE,RECREATIONAL RETAILER,ACTIVE,01/18/2027,3682,Tremont St North Bend,OR,97459-2857,Coos,Marijuana Home Delivery,
050-1003823E63C,Sunray Cannabis,SUNRAY CANNABIS LLC,RECREATIONAL RETAILER,ACTIVE,01/08/2027,1347 NW HIGHWAY 101,Lincoln City,OR,97367-3341,Lincoln,Medical Marijuana Retailer,
050-1003834AEE9,Refinery Canna Connoisseur,THE NATURAL REFINERY LLC,RECREATIONAL RETAILER,EXPIRED,05/04/2024,2707,Ne Broadway St Portland,OR,97232-1722,Multnomah,Marijuana Home Delivery,
050-1003859B9F6,La Cannaisseur,LA CANNAISSEUR LLC,RECREATIONAL RETAILER,INACTIVE,12/29/2025,11324,Nw Saint Helens Rd Portland,OR,97231-1037,Multnomah,Marijuana Home Delivery,
050-1003884B7AC,DEFYNE PREMIUM CANNABIS,PACIFIC GREEN LLC,RECREATIONAL RETAILER,INACTIVE,12/26/2024,3821,Pacific Ave Forest Grove,OR,97116-2223,Washington,,
050-1004054A790,Going Green Grand Ronde,GOING GREEN ALBANY INC,RECREATIONAL RETAILER,ACTIVE,01/11/2027,8675,Fort Hill Rd Willamina,OR,97396-9736,Yamhill,Marijuana Home Delivery,
050-1004070FB52,High Mountain Recreational,HIGH MOUNTAIN RETAIL LLC,RECREATIONAL RETAILER,ACTIVE,11/16/2026,2722 W 2ND,St The Dalles,OR,97058-4127,Wasco,Medical Marijuana Retailer,
050-1004116B110,Pacific Gold,CO2 COMPANY AUCTION HOUSE LLC,RECREATIONAL RETAILER,CANCELLED,02/06/2025,1010,Sw Gibbs St Portland,OR,97239-3034,Multnomah,,
050-1004244CF83,Tsunami Marijuana LLC,TSUNAMI MARIJUANA LLC,RECREATIONAL RETAILER,ACTIVE,04/17/2026,1555,N Roosevelt Dr Seaside,OR,97138-7143,Clatsop,Medical Marijuana Retailer,
050-1004282BD55,Magian Distilling,HAWTHCO ONE CORPORATION,RECREATIONAL RETAILER,ACTIVE,12/31/2025,1515 SE 46TH,Ave Portland,OR,97215-3107,Multnomah,Marijuana Home Delivery,
050-1004294B93A,Tree House Collective,TREE HOUSE COLLECTIVE LLC,RECREATIONAL RETAILER,ACTIVE,12/31/2026,2419,Ne Sandy Blvd Portland,OR,97232-2339,Multnomah,Medical Marijuana Retailer,
050-1004297C917,Solutions of the Millennium LLC,SOLUTIONS OF THE MILLENNIUM LLC,RECREATIONAL RETAILER,ACTIVE,08/24/2026,2893,Oak St Eugene,OR,97405-3694,Lane,Marijuana Home Delivery,
050-1004330B65D,Swed.co,MAX CONSULTING GROUP LLC,RECREATIONAL RETAILER,ACTIVE,02/16/2027,2058,Nw Burnside Rd Gresham,OR,97030-3528,Multnomah,Medical Marijuana Retailer,
050-1004487C310,Substance,BLOOM WELL INC,RECREATIONAL RETAILER,ACTIVE,04/09/2027,20365 EMPIRE AVE STE 140,,OR,,,,
050-1004542CDD8,Redbarn Cannabis,REDBARN PHARMS LLC,RECREATIONAL RETAILER,ACTIVE,08/27/2026,1069,N Old Pacific Hwy Myrtle Creek,OR,97457-7465,Douglas,Marijuana Home Delivery,
050-1004550B848,Green Gratitude,JOSEPH GLOVER LLC,RECREATIONAL RETAILER,INACTIVE,12/26/2025,10322,Se Holgate Blvd Portland,OR,97266-2421,Multnomah,Marijuana Home Delivery,
050-1004552C21B,Otis Collective,OTIS COLLECTIVE LLC,RECREATIONAL RETAILER,ACTIVE,01/04/2027,1257,Salmon River Hwy Otis,OR,97368-9776,Lincoln,Medical Marijuana Retailer,
050-1004691B5CD,Highway 420,STEVE GEIGER || YVETTE GEIGER,RECREATIONAL RETAILER,ACTIVE,01/19/2027,1803 S ROOSEVELT DR STE C,,OR,,,,
050-1004701F805,Pur Roots,PORTLAND HEALTH CENTER INCORPORATED,RECREATIONAL RETAILER,ACTIVE,08/26/2026,5816,Ne Lombard St Portland,OR,97218-2363,Multnomah,Medical Marijuana Retailer,
050-1004716B1DB,Phresh Start LLC,PHRESH START LLC,RECREATIONAL RETAILER,ACTIVE,02/26/2027,1623 21ST ST STE B,,OR,,,,
050-1004764F055,Local Herb,DIVISION HOLISTIC LLC,RECREATIONAL RETAILER,ACTIVE,12/31/2026,15948,Se Division St Portland,OR,97236-2059,Multnomah,Marijuana Home Delivery,
