License_Number,UBI,Trade_Name,Licensee,Privilege_Status,Privilege_Type,Street,Suite,City,State,ZIP,County,Phone,Expiration_Date,Mailing_Address,SE_Retailer
430562,6033581390010004,#HASHTAG,,ACTIVE (ISSUED),CANNABIS RETAILER,224 NICKERSON ST,,SEATTLE,WA,981091622,KING,5042315918,,,
423413,6033491670010006,112TH STREET CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,5809 112TH ST E BLDG B,,PUYALLUP,WA,98373,PIERCE,2067926857,,,
355469,6043490200010002,2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,,ACTIVE (ISSUED),CANNABIS RETAILER,1706 MT BAKER HWY,,BELLINGHAM,WA,98226,WHATCOM,3607342020,,,
422239,6035723460010001,2020 SOLUTIONS EPHRATA,,ACTIVE (ISSUED),CANNABIS RETAILER,1615 BASIN ST SW,,EPHRATA,WA,988232134,GRANT,3609154944,,,
415470,6043490150010001,2020 SOLUTIONS IRON STREET,,ACTIVE (ISSUED),CANNABIS RETAILER,2018 IRON ST STE A,,BELLINGHAM,WA,98226,WHATCOM,2068180966,,,
420908,6043490230010001,2020 SOLUTIONS PACIFIC HIGHWAY,,ACTIVE (ISSUED),CANNABIS RETAILER,4770 PACIFIC HWY STE A,,BELLINGHAM,WA,98226,WHATCOM,3607342020,,,
364709,6033492700010006,20AFTER4,,ACTIVE (ISSUED),CANNABIS RETAILER,1511 N GOERIG ST,,WOODLAND,WA,98674,COWLITZ,3605629420,,,
428654,6031183740010004,28 GRAHAMS CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,10315 200TH ST E,,GRAHAM,WA,98338,PIERCE,2537405648,,,
422099,6041520640010001,365 RECREATIONAL CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,36711 U.S. HIGHWAY 12,,DAYTON,WA,98328,COLUMBIA,4259194183,,,
423784,6034296550010002,365 RECREATIONAL CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,17517 15TH AVE NE #B,,SHORELINE,WA,98155,KING,4259194183,,,
430369,6042834300010002,395 HERB,,ACTIVE (ISSUED),CANNABIS RETAILER,3948B 3RD AVE UNIT 2,,LOON LAKE,WA,99148,STEVENS,5096440420,,,
413586,6033515760010001,4:20 FRIENDLY,,ACTIVE (ISSUED),CANNABIS RETAILER,1515 LEWIS ST,,SPOKANE,WA,99224,SPOKANE,5094990999,,,
424848,6035340690010002,420 CAPITOL,,ACTIVE (ISSUED),CANNABIS RETAILER,5980 CAPITOL BLVD SE,,TUMWATER,WA,98501,THURSTON,3604026368,,,
415083,6033585480010002,420 CARPENTER,,ACTIVE (ISSUED),CANNABIS RETAILER,422 CARPENTER RD STE 105,,LACEY,WA,985037906,THURSTON,3604026368,,,
426678,6035792630010002,420 ELMA ON MAIN,,ACTIVE (ISSUED),CANNABIS RETAILER,306 W MAIN ST,,ELMA,WA,985410000,GRAYS HARBOR,2539061919,,,
428560,6041829490010002,420 GRAND CENTRAL,,ACTIVE (ISSUED),CANNABIS RETAILER,19941 OLD HIGHWAY 99 SW,,ROCHESTER,WA,98579,THURSTON,3604026368,,,
415526,6033592380010001,420 HOLIDAY,,ACTIVE (ISSUED),CANNABIS RETAILER,2028 10TH AVE,,LONGVIEW,WA,986324007,COWLITZ,3607033103,,,
414550,6034051800010001,420 SPOT SHOP,,ACTIVE (ISSUED),CANNABIS RETAILER,1374 SE LUND AVE,SMP - 1,PORT ORCHARD,WA,98366,KITSAP,3603405966,,,
414733,6033585480010001,420 WEST,,ACTIVE (ISSUED),CANNABIS RETAILER,410 RONLEE LN NW A1,,OLYMPIA,WA,985029266,THURSTON,3604026368,,,
422202,6024843170010012,49* NORTH CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,1380 MILL ST STE A,,ADDY,WA,991019677,STEVENS,5096844420,,,
414441,6034501390010005,A GREENER TODAY MARIJUANA,,ACTIVE (ISSUED),CANNABIS RETAILER,5209 MARTIN LUTHER KING JR.,WAY S,SEATTLE,WA,98118,KING,2068017756,,,
414814,6034501390010003,A GREENER TODAY MARIJUANA,,ACTIVE (ISSUED),CANNABIS RETAILER,16053 AURORA AVE N STE B,STE B,SHORELINE,WA,98133,KING,2068017756,,,
422044,6041339060010001,A GREENER TODAY MARIJUANA,,ACTIVE (ISSUED),CANNABIS RETAILER,19315 BOTHELL EVERETT HWY #1,UNIT 1,BOTHELL,WA,98012,SNOHOMISH,4257736021,,,
422168,6035559160010003,A GREENER TODAY MARIJUANA-GOLD BAR,,ACTIVE (ISSUED),CANNABIS RETAILER,16810 415TH AVE SE STE A-2,,GOLD BAR,WA,98251,SNOHOMISH,4257736037,,,
422109,6035559160010002,A GREENER TODAY MARIJUANA-LYNNWOOD,,ACTIVE (ISSUED),CANNABIS RETAILER,14608 HWY 99 SUITE #304,,LYNNWOOD,WA,98087,SNOHOMISH,4257736037,,,
426039,6035146970010003,A GREENER TODAY WALLA WALLA,,ACTIVE (ISSUED),CANNABIS RETAILER,655 WEST POPLAR ST,,WALLA WALLA,WA,99362,WALLA WALLA,2063803608,,,
422765,6035572950010001,ACCESS CANIBUS LLC,,ACTIVE (ISSUED),CANNABIS RETAILER,3082 WAITTS LAKE RD,,VALLEY,WA,99181,STEVENS,3604703051,,,
414225,6056243110010001,ALTITUDE,,ACTIVE (ISSUED),CANNABIS RETAILER,260 MERLOT DR,,PROSSER,WA,99350,BENTON,5093890676,,,
422954,6033525730010005,AMERICAN HARVEST,,ACTIVE (ISSUED),CANNABIS RETAILER,7550 US HWY 97,,PESHASTIN,WA,988470000,CHELAN,5033177035,,,
421652,6033570100010002,ANACORTES CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,7656 STATE ROUTE 20 UNIT A,,ANACORTES,WA,982218311,SKAGIT,3605886222,,,
439988,6058995220010001,APEX MOSES LAKE,,ACTIVE (ISSUED),CANNABIS RETAILER,955 W BROADWAY AVE,,MOSES LAKE,WA,988372602,GRANT,2065082410,,,
440314,6058995220010003,APEX Otis Orchards,,ACTIVE (ISSUED),CANNABIS RETAILER,21502 E GILBERT AVE,,OTIS ORCHARDS,WA,990279241,SPOKANE,2065082410,,,
440307,6058995220010002,APEX SPOKANE,,ACTIVE (ISSUED),CANNABIS RETAILER,1325 N DIVISION ST STE 104,,SPOKANE,WA,992021808,SPOKANE,2065082410,,,
422460,6047743750010001,ARISTOCRAT ENTERPRISES II,,ACTIVE (ISSUED),CANNABIS RETAILER,2947 E HWY 101  STE A,"B, SUITE A AND B",PORT ANGELES,WA,98362,CLALLAM,2062000462,,,
415127,6041578100010001,BAYSHORE CANNABIS CO,,ACTIVE (ISSUED),CANNABIS RETAILER,3831 HIGHWAY 3,,SHELTON,WA,98584,MASON,2062344663,,,
422298,6045863300010003,BELFAIR CANNABIS COMPANY,,ACTIVE (ISSUED),CANNABIS RETAILER,24090 NE STATE ROUTE 3 STE I,,BELFAIR,WA,985289665,MASON,4044063054,,,
421709,6035924360010001,BETTER BUDS,,ACTIVE (ISSUED),CANNABIS RETAILER,841 NESS CORNER RD  STE B,STE B,PORT HADLOCK,WA,983399572,JEFFERSON,3607316611,,,
422525,6033530980010005,BETTER BUDS,,ACTIVE (ISSUED),CANNABIS RETAILER,2840 E HWY 101,,PORT ANGELES,WA,98362,CLALLAM,3607316611,,,
425965,6033530980010004,BETTER BUDS,,ACTIVE (ISSUED),CANNABIS RETAILER,10384 SILVERDALE WAY NW STE 10,,SILVERDALE,WA,98383,KITSAP,3607316611,,,
430175,6046285230010001,BETTER BUDS,,ACTIVE (ISSUED),CANNABIS RETAILER,946 WASHINGTON WAY STE 100,,LONGVIEW,WA,98632,COWLITZ,3607033791,,,
429761,6043510130010003,BIRCH BAY BUDZ,,ACTIVE (ISSUED),CANNABIS RETAILER,8125 BIRCH BAY SQUARE ST #222,,BLAINE,WA,98230,WHATCOM,5092094569,,,
414103,6048643700010001,BLOOM,,ACTIVE (ISSUED),CANNABIS RETAILER,"10707 PACIFIC AVE S STE E,F",,TACOMA,WA,984446098,PIERCE,5038057828,,,
436428,6055079200010001,BORED N BUZZED,,ACTIVE (ISSUED),CANNABIS RETAILER,11516 124TH AVE NE,,KIRKLAND,WA,980334643,KING,2062265888,,,
421335,6043374800010001,BUD BARN,,ACTIVE (ISSUED),CANNABIS RETAILER,6725 MARTIN WAY E,,OLYMPIA,WA,98516,THURSTON,3609601220,,,
428005,6043374800010002,BUD BARN,,ACTIVE (ISSUED),CANNABIS RETAILER,10619 VANCIL RD SE,,YELM,WA,98597,THURSTON,3609601220,,,
413802,6033518190010001,BUD COMMANDER,,ACTIVE (ISSUED),CANNABIS RETAILER,849 TROSPER RD SW STE 207,,TUMWATER,WA,98512,THURSTON,3606881709,,,
413893,6033590560010001,BUDDY'S,,ACTIVE (ISSUED),CANNABIS RETAILER,420 SUNSET BLVD N STE A,,RENTON,WA,98055,KING,4256819665,,,
420661,6035688640010001,BUDEEZ,,ACTIVE (ISSUED),CANNABIS RETAILER,2111 E 11TH ST,,BREMERTON,WA,983104810,KITSAP,3606207114,,,
410831,6045346320010005,BUDHUT,,ACTIVE (ISSUED),CANNABIS RETAILER,26207 MAPLE VALLEY BLACK,DIAMOND RD #C,MAPLE VALLEY,WA,98038,KING,2066932900,,,
413901,6045346320010001,BUDHUT,,ACTIVE (ISSUED),CANNABIS RETAILER,1131 E STATE ROUTE 532,,CAMANO ISLAND,WA,98282,ISLAND,2066932900,,,
415504,6045346320010002,BUDHUT,,ACTIVE (ISSUED),CANNABIS RETAILER,11603 HWY 99,,EVERETT,WA,98204,SNOHOMISH,2066932900,,,
422332,6035726930010004,BUDHUT,,ACTIVE (ISSUED),CANNABIS RETAILER,70 SALTSPRING DR  UNIT 2A,UNIT 2A,FRIDAY HARBOR,WA,982509062,SAN JUAN,3606681111,,,
437604,6033500470010010,BUDS GARAGE,,ACTIVE (ISSUED),CANNABIS RETAILER,2712 HEWITT AVE,,EVERETT,WA,982013740,SNOHOMISH,4253219471,,,
420666,6033595980010008,CANNA WEST SEATTLE,,ACTIVE (ISSUED),CANNABIS RETAILER,5440 CALIFORNIA AVE SW,,SEATTLE,WA,981361513,KING,2066969240,,,
414211,6034482820010001,CANNA4LIFE,,ACTIVE (ISSUED),CANNABIS RETAILER,721 6TH ST,,CLARKSTON,WA,99403,ASOTIN,5092958218,,,
360307,6033510980010004,CANNABIS & GLASS,,ACTIVE (ISSUED),CANNABIS RETAILER,605 E FRANCIS,,SPOKANE,WA,99208,SPOKANE,5099991112,,,
353993,6033565140010006,CANNABIS 21,,ACTIVE (ISSUED),CANNABIS RETAILER,428 10TH ST,,HOQUIAM,WA,985500000,GRAYS HARBOR,3606379282,,,
414712,6033565140010007,CANNABIS 21,,ACTIVE (ISSUED),CANNABIS RETAILER,2294 STATE ROUTE 109,,HOQUIAM,WA,985500000,GRAYS HARBOR,3606379282,,,
415567,6033565140010002,CANNABIS 21,,ACTIVE (ISSUED),CANNABIS RETAILER,1000 E WISHKAH ST,,ABERDEEN,WA,985200000,GRAYS HARBOR,3606379283,,,
430237,6040821720010003,CANNABIS COAST FORKS,,ACTIVE (ISSUED),CANNABIS RETAILER,362 LA PUSH RD,,FORKS,WA,983319504,CLALLAM,3603744020,,,
414970,6033592740010003,CANNABIS COUNTRY STORE,,ACTIVE (ISSUED),CANNABIS RETAILER,1910 W MAIN ST SUITE 101,,BATTLE GROUND,WA,98604,CLARK,3607987194,,,
423542,6031854210010003,CANNABIS PROVISIONS EAST,,ACTIVE (ISSUED),CANNABIS RETAILER,831 N MILLER ST,,WENATCHEE,WA,98801,CHELAN,2533347082,,,
425585,6032377590010004,CANNABIS PROVISIONS INC.,,ACTIVE (ISSUED),CANNABIS RETAILER,938 N 200TH ST STE C,,SHORELINE,WA,98133,KING,2066295235,,,
402780,6048417560010002,CANNABIS SUPER STORE,,ACTIVE (ISSUED),CANNABIS RETAILER,705 EAST 1ST ST,,CLE ELUM,WA,989221252,KITTITAS,3606311239,,,
087932,6033429340010001,CANNABIZ,,ACTIVE (ISSUED),CANNABIS RETAILER,1109 RIVER RD STE A,,PUYALLUP,WA,98371,PIERCE,2532611850,,,
422595,6051340050010002,Cannabliss 21,,ACTIVE (ISSUED),CANNABIS RETAILER,6230 N DIVISION ST,,SPOKANE,WA,992081032,SPOKANE,5099362310,,,
415575,6033596150010001,CANNABLYSS,,ACTIVE (ISSUED),CANNABIS RETAILER,2705 HARTFORD DR STE A,,LAKE STEVENS,WA,98258,SNOHOMISH,4253148652,,,
413366,6052356620010001,CANNARAIL STATION,,ACTIVE (ISSUED),CANNABIS RETAILER,1448 BASIN ST NW SUITE A,,EPHRATA,WA,98823,GRANT,5099227242,,,
439635,6056547110010001,"CANNAZEN, LLC",,ACTIVE (ISSUED),CANNABIS RETAILER,257 ENGH RD,,OMAK,WA,988419472,OKANOGAN,5096707043,,,
350641,6046842120010008,CANNAZONE,,ACTIVE (ISSUED),CANNABIS RETAILER,1956 1ST AVE S,,SEATTLE,WA,981341406,KING,8602092288,,,
420477,6046842120010006,CANNAZONE,,ACTIVE (ISSUED),CANNABIS RETAILER,7217 212TH ST SW,,EDMONDS,WA,980267735,SNOHOMISH,8602092288,,,
421813,6046842120010002,CANNAZONE,,ACTIVE (ISSUED),CANNABIS RETAILER,5655 GUIDE MERIDIAN STE B,SUITE B,BELLINGHAM,WA,982269722,WHATCOM,8602092288,,,
427742,6046842120010004,CANNAZONE,,ACTIVE (ISSUED),CANNABIS RETAILER,3010 OLD HWY 99 SOUTH RD STE B,,MOUNT VERNON,WA,982739037,SKAGIT,8602092288,,,
430952,6047143320010001,CANNAZONE,,ACTIVE (ISSUED),CANNABIS RETAILER,45120 SE NORTH BEND WAY STE B,,NORTH BEND,WA,980459065,KING,8602092288,,,
439653,6050081050010007,CANNAZONE,,ACTIVE (ISSUED),CANNABIS RETAILER,4712 PACIFIC HWY,,BELLINGHAM,WA,982269049,WHATCOM,8602092115,,,
420801,6035879910010002,CARAVAN CANNABIS COMPANY,,ACTIVE (ISSUED),CANNABIS RETAILER,9574 OLD HWY 99 NORTH RD STE B,,BURLINGTON,WA,982336811,SKAGIT,3607550755,,,
435487,6035652650010004,CARAVAN CANNABIS COMPANY,,ACTIVE (ISSUED),CANNABIS RETAILER,1317 W BAKERVIEW RD STE 105,,BELLINGHAM,WA,982269087,WHATCOM,3603251201,,,
414749,6033587380010004,CASCADE HERB COMPANY,,ACTIVE (ISSUED),CANNABIS RETAILER,6167 PORTAL WAY,,FERNDALE,WA,982489363,WHATCOM,3607468587,,,
415094,6033587380010002,CASCADE HERB COMPANY,,ACTIVE (ISSUED),CANNABIS RETAILER,1240 E MAPLE ST STE 103,,BELLINGHAM,WA,982255749,WHATCOM,3607782357,,,
425539,6033656030010003,CASCADE KROPZ,,ACTIVE (ISSUED),CANNABIS RETAILER,19127 SMOKEY POINT BLVD BLDG 1,,ARLINGTON,WA,982234264,SNOHOMISH,3606595422,,,
433034,6048614680010001,CATHLAMET CANNABIS COMPANY,,ACTIVE (ISSUED),CANNABIS RETAILER,295 WA-4,,CATHLAMET,WA,986120000,WAHKIAKUM,2069923117,,,
413492,6035262460010001,CHIMACUM CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,9034 BEAVER VALLEY ROAD,,CHIMACUM,WA,98325,JEFFERSON,2066818394,,,
414817,6033524120010004,CINDER,,ACTIVE (ISSUED),CANNABIS RETAILER,1421 N MULLAN RD STE B,,SPOKANE VALLEY,WA,99206,SPOKANE,5092413091,,,
422294,6033524120010006,CINDER,,ACTIVE (ISSUED),CANNABIS RETAILER,6010 N DIVISION ST,,SPOKANE,WA,99208,SPOKANE,5092413091,,,
423096,6033423140010004,CINDER,,ACTIVE (ISSUED),CANNABIS RETAILER,927 W 2ND AVE STE 1,,SPOKANE,WA,992014501,SPOKANE,5092410110,,,
413358,6052400560010002,CLEAR CHOICE CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,8001 S HOSMER ST,,TACOMA,WA,98408,PIERCE,2068568424,,,
421877,6055045750010001,CLEAR CHOICE CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,6733 STATE HWY 303 NE,,BREMERTON,WA,98311,KITSAP,2068568424,,,
439182,6057608440010001,CLEAR CHOICE CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,317 S 72ND ST,,TACOMA,WA,984086003,PIERCE,2068568424,,,
414807,6041302810010005,CLIFFS CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,1410 NW GILMAN BLVD STE A,,ISSAQUAH,WA,98027,KING,2063355857,,,
414959,6033587180010001,CLOUD CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,11401 RAINIER AVE S,,SEATTLE,WA,98178,KING,2063624444,,,
413803,6033522420010001,CLUTCH CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,11537 RAINIER AVE S,,SEATTLE,WA,981783984,KING,2063210149,,,
413732,6033524150010002,CRAFT CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,6515 E MILL PLAIN BLVD,SMP - 1,VANCOUVER,WA,98661,CLARK,5033417097,,,
414065,6043381880010001,CRAFT CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,1510 N WENATCHEE AVE,,WENATCHEE,WA,98801,CHELAN,5096799999,,,
431536,6045325900010002,"CRAFT CANNABIS, INC.",,ACTIVE (ISSUED),CANNABIS RETAILER,8603 NE ANDRESEN RD,,VANCOUVER,WA,98665,CLARK,5033417097,,,
085059,6047800470010001,CRAFT LEAVENWORTH,,ACTIVE (ISSUED),CANNABIS RETAILER,8459 MAIN ST  UNIT B,UNIT B,DRYDEN,WA,98821,CHELAN,5033417097,,,
423372,6034797720010003,CRAFT TACOMA,,ACTIVE (ISSUED),CANNABIS RETAILER,2128 S 37TH ST,,TACOMA,WA,984097445,PIERCE,2536550420,,,
415645,6056226540010001,CRAFT WENATCHEE,,ACTIVE (ISSUED),CANNABIS RETAILER,907 N WENATCHEE AVENUE STE B,,WENATCHEE,WA,98801,CHELAN,5098888241,,,
413729,6033507270010001,CULT CANNABIS CO.,,ACTIVE (ISSUED),CANNABIS RETAILER,6061 PORTAL WAY,,FERNDALE,WA,98248,WHATCOM,3606762539,,,
432456,6033820290010005,CUTIE JUDY'S CANNABIS COMPANY,,ACTIVE (ISSUED),CANNABIS RETAILER,5613 OLYMPIC HWY,,ABERDEEN,WA,98520,GRAYS HARBOR,3604955938,,,
414539,6045989840010004,DANK OF AMERICA,,ACTIVE (ISSUED),CANNABIS RETAILER,5309 GUIDE MERIDIAN STE A,,BELLINGHAM,WA,98226,WHATCOM,4252314439,,,
422817,6036038240010001,DANK OF AMERICA,,ACTIVE (ISSUED),CANNABIS RETAILER,2530 PEACE PORTAL DR STE B,,BLAINE,WA,982308063,WHATCOM,4252314439,,,
364799,6048256220010001,DANK'S WONDER EMPORIUM,,ACTIVE (ISSUED),CANNABIS RETAILER,7207 212TH ST SW,,EDMONDS,WA,98020,SNOHOMISH,2064583155,,,
441109,6056771600010001,DANK’S TACOMA,,ACTIVE (ISSUED),CANNABIS RETAILER,2632 S 38TH ST STE A,,TACOMA,WA,984097304,PIERCE,2536257628,,,
442981,6059391980010001,DANKS,,ACTIVE (ISSUED),CANNABIS RETAILER,14300 SE PETROVITSKY RD STE C,,RENTON,WA,980588955,KING,2062272980,,,
422303,6046288750010001,DASH & WRIGLEY LLC,,ACTIVE (ISSUED),CANNABIS RETAILER,13003 TUKWILA INTERNATIONAL BL,UNIT A,TUKWILA,WA,98168,KING,2062277687,,,
415202,6033561310010002,DAVE'S PLACE,,ACTIVE (ISSUED),CANNABIS RETAILER,10 MAPLE GROVE RD,,SUNNYSIDE,WA,989440000,YAKIMA,5098300275,,,
414503,6034539570010001,DESTINATION HIGHWAY 420,,ACTIVE (ISSUED),CANNABIS RETAILER,1225 HOLLIS ST,,BREMERTON,WA,98310,KITSAP,3606278754,,,
413374,6033542940010001,DIAMOND GREEN,,ACTIVE (ISSUED),CANNABIS RETAILER,4002 S 12TH ST,,TACOMA,WA,984051509,PIERCE,2532225697,,,
423036,6035859930010001,DISCOVERY BAY CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,282023 HWY 101,,PORT TOWNSEND,WA,983689331,JEFFERSON,2066607221,,,
429044,6036041010010002,DISPO 42,,ACTIVE (ISSUED),CANNABIS RETAILER,4204 RUSSELL RD STE M,,MUKILTEO,WA,982755424,SNOHOMISH,4255318999,,,
414174,6033563140010001,DOCKSIDE CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,1728 4TH AVE S,,SEATTLE,WA,981341502,KING,2063505366,,,
424463,6035692810010002,DOCKSIDE CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,4601 LEARY WAY NW,,SEATTLE,WA,981074544,KING,2068068742,,,
430807,6035692220010004,DOCKSIDE CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,8401 AURORA AVE N STE E1,,SEATTLE,WA,981034332,KING,2065564067,,,
