ID,DBA,Legal_Name,Full_Address,Street,City,State,ZIP,Phone,County,Operational_Status
5,Trulieve WV,"Trulieve WV, Inc.","1397 EARL L CORE RD, MORGANTOWN, WV 26505",1397 EARL L CORE RD,Morgantown,WV,26505,304-381-6721,Monongalia,Operational with product
6,Zen Leaf Morgantown,Verano WV LLC,"205 VENTURE DR, MORGANTOWN, WV 26508",205 VENTURE DR,Morgantown,WV,26508,304-907-1898,Monongalia,Operational with product
7,TerraLeaf,WV Kindness LLC,"2018 3RD AVE, HUNTINGTON, WV 25703",2018 3RD AVE,Huntington,WV,25703,304-446-4600,Cabell,Operational with product
8,Cannabist,Columbia Care WV LLC,"300 GALLERIA PLZ #308, BECKLEY, WV 25801",300 GALLERIA PLZ #308,Beckley,WV,25801,304-362-0518,Raleigh,Operational with product
9,Cannabist,Columbia Care WV LLC,"603 3RD AVE, ST ALBANS, WV 25177",603 3RD AVE,St Albans,WV,25177,304-693-2705,Kanawha,Operational with product
10,Cannabist,Columbia Care WV LLC,"225 DON KNOTTS BLVD, MORGANTOWN, WV 26501",225 DON KNOTTS BLVD,Morgantown,WV,26501,304-244-5178,Monongalia,Operational with product
11,Greenlight,Logan Investment Partners LLC,"1747 JEFFERSON ST N, LEWISBURG, WV 24901",1747 JEFFERSON ST N,Lewisburg,WV,24901,304-520-4175,Greenbrier,Operational with product
12,Greenlight,Logan Investment Partners LLC,"112 EXPERT CIRCLE, PRINCETON, WV 24739",112 EXPERT CIRCLE,Princeton,WV,24739,304-250-3029,Mercer,Operational with product
13,Trulieve WV,"Trulieve WV, Inc.","4701 MACCORKLE AVE, SO CHARLESTON, WV 25309",4701 MACCORKLE AVE,So Charleston,WV,25309,304-407-2434,Kanawha,Operational with product
14,Zen Leaf Westover,Verano WV LLC,"871 FAIRMONT RD, WESTOVER, WV 26501",871 FAIRMONT RD,Westover,WV,26501,,Monongalia,Operational with product
15,Trulieve WV,"Trulieve WV, Inc.","152 PARK CENTER DR, PARKERSBURG, WV 26101",152 PARK CENTER DR,Parkersburg,WV,26101,304-470-4833,Wood,Operational with product
16,The Foundry,ECS Partners,"4075 MAIN ST, WEIRTON, WV 26062",4075 MAIN ST,Weirton,WV,26062,304-914-4090,Brooke,Operational with product
17,NewLeaf,"New Leaf WV, LLC","776 FOXCROFT AVE, MARTINSBURG, WV 25401",776 FOXCROFT AVE,Martinsburg,WV,25401,304-578-5255,Berkeley,Operational with product
18,The Next Level Wellness #3,"The Next Level Wellness, #1, Inc.","1633 BUCKHANNON PIKE, CLARKSBURG, WV 26301",1633 BUCKHANNON PIKE,Clarksburg,WV,26301,304-969-1633,Harrison,Operational with product
19,Kanacare Health,"Cannabis Care of West Virginia, LLC","5703 MACCORKLE AVE SE, CHARLESTON, WV 25304",5703 MACCORKLE AVE SE,Charleston,WV,25304,681-205-2085,Kanawha,Operational with product
21,Greenlight,Logan Investment Partners LLC,"351 HANGING ROCK HWY, STOLLINGS, WV 25646",351 HANGING ROCK HWY,Stollings,WV,25646,304-953-2018,Logan,Operational with product
22,Solevo Wellness,Trulieve,"525 GRANVILLE SQ, MORGANTOWN, WV 26501",525 GRANVILLE SQ,Morgantown,WV,26501,304-449-5304,Monongalia,Operational with product
23,Mountaineer Holding LLC,Trulieve,"2 PUTNAM VILLAGE DR, HURRICANE, WV 25526",2 PUTNAM VILLAGE DR,Hurricane,WV,25526,304-779-8604,Putnam,Operational with product
24,The Landing Cannabis Dispensary,"Mountaineer Releaf, LLC","3507 US ROUTE 60, HUNTINGTON, WV 25705",3507 US ROUTE 60,Huntington,WV,25705,681-387-7844,Cabell,Operational with product
25,The Landing Cannabis Dispensary,"Mountaineer Releaf, LLC","3914 MURDOCH AVE, PARKERSBURG, WV 26105",3914 MURDOCH AVE,Parkersburg,WV,26105,681-387-7845,Wood,Operational with product
26,Zen Leaf Wheeling,Verano WV LLC,"231-237 WARWOOD AVE, WHEELING, WV 26003",231-237 WARWOOD AVE,Wheeling,WV,26003,304-557-1104,Ohio,Operational with product
27,Greenlight,Logan Investment Partners LLC,"4244 ROBERT C BYRD DR, BECKLEY, WV 25801",4244 ROBERT C BYRD DR,Beckley,WV,25801,304-860-1058,Raleigh,Operational with product
28,The Landing Cannabis Dispensary,"Capital City Health &amp; Wellness, LLC","4002 MACCORKLE AVE SE, STE 1, CHARLESTON, WV 25304","4002 MACCORKLE AVE SE, STE 1",Charleston,WV,25304,681-387-7842,Kanawha,Operational with product
29,Zen Leaf Clarksburg,Verano WV LLC,"254 EMILY DRIVE, CLARKSBURG, WV 26301",254 EMILY DRIVE,Clarksburg,WV,26301,304-557-1141,Harrison,Operational with product
30,Barboursville Cannabis Company,"Marachem, Inc.","2A MALL ROAD, BARBOURSVILLE, WV 25504",2A MALL ROAD,Barboursville,WV,25504,304-949-8588,Cabell,Operational with product
31,Greenlight,"Logan Investment Partners, LLC","1000 HIGHLAND AVE, BLUEFIELD, WV 24701",1000 HIGHLAND AVE,Bluefield,WV,24701,888-995-0420,Mercer,Operational with product
33,Mountaineer Holding LLC,Mountaineer Holding LLC,"2700 E DUPONT AVE, STE 9, BELLE, WV 25015","2700 E DUPONT AVE, STE 9",Belle,WV,25015,304-350-1644,Kanawha,Operational with product
34,Trulieve,Trulieve,"5 PERRY MORRIS SQUARE, US RT 60, MILTON, WV 25541","5 PERRY MORRIS SQUARE, US RT 60",Milton,WV,25541,,Cabell,Operational with product
39,Cannabist,Columbia Care WV LLC,"76 THUNDER RD, WILLIAMSTOWN, WV 26187",76 THUNDER RD,Williamstown,WV,26187,304-440-9703,Wood,Operational with product
40,Verdant Creations,CPKH 2 LLC,"1255 1/2-A GIHON ROAD, PARKERSBURG, WV 26101",1255 1/2-A GIHON ROAD,Parkersburg,WV,26101,304-679-1110,Wood,Operational with product
41,Trulieve WV,"Trulieve WV, Inc.","137 STAUNTON DR, WESTON, WV 26452",137 STAUNTON DR,Weston,WV,26452,304-407-3288,Lewis,Operational with product
42,Country Grown Cannabis,"Harvest Care Medical, LLC","1321 EDWIN MILLER BLVD, MARTINSBURG, WV 25404",1321 EDWIN MILLER BLVD,Martinsburg,WV,25404,304-350-1644,Berkeley,Operational with product
43,The Landing Dispensary,"Mountaineer Releaf, LLC","1048 ANMOORE RD, BRIDGEPORT, WV 26330",1048 ANMOORE RD,Bridgeport,WV,26330,681-687-7847,Harrison,Operational with product
45,Greene Street,"Greene Street Holdings West Virginia, LLC","125 LAKEVIEW DR, CROSS LANES, WV 25313",125 LAKEVIEW DR,Cross Lanes,WV,25313,304-260-3846,Kanawha,Operational with product
46,Country Grown Cannabis,"Harvest Care Medical, LLC","672 E WASHINGTON ST, CHARLES TOWN, WV 25414",672 E WASHINGTON ST,Charles Town,WV,25414,,Jefferson,Operational with product
47,Trulieve,"Trulieve WV, Inc.","2013 5TH AVENUE, HUNTINGTON, WV 26201",2013 5TH AVENUE,Huntington,WV,26201,304-699-0440,Cabell,Operational with product
48,Dba The Next Level Wellness #5,"The Next Level Wellness #1, Inc","107B PLEASANT AVENUE, KINGWOOD, WV 26537",107B PLEASANT AVENUE,Kingwood,WV,26537,304-969-1633,Preston,Operational with product
49,Dba The Next Level Wellness #4,"The Next Level Wellness #1, Inc","742 W PIKE ST, CLARKSBURG, WV 26301",742 W PIKE ST,Clarksburg,WV,26301,304-969-1633,Harrison,Operational with product
50,The Landing Dispensary,"Mountaineer Releaf, LLC","2810 ROBERT C BYRD DR, BECKLEY, WV 25801",2810 ROBERT C BYRD DR,Beckley,WV,25801,681-387-7849,Raleigh,Operational with product
51,Greene Street,"Greene Street Holdings West Virginia, LLC","5126 MACCORKLE AVE SE, CHARLESTON, WV 25304",5126 MACCORKLE AVE SE,Charleston,WV,25304,,Kanawha,Operational with product
52,Trulieve,Greenhouse Wellness WV Dispensaries LLC,"1000 EISENHOWER DR, BECKLEY, WV 25801",1000 EISENHOWER DR,Beckley,WV,25801,,Raleigh,Operational with product
53,Appalachian Medical Cannabis,"Harvest Care Medical, LLC","791 MIDDLEWAY PIKE, INWOOD, WV 25428",791 MIDDLEWAY PIKE,Inwood,WV,25428,304-821-4187,Berkeley,Operational with product
54,Cannabist,Columbia Care WV LLC,"917 3RD AVENUE, HUNTINGTON, WV 25701",917 3RD AVENUE,Huntington,WV,25701,,Cabell,Operational with product
55,Zen Leaf Buckhannon,Verano WV LLC,"120 BUCKHANNON XRDS, STE 104, BUCKHANNON, WV 26201","120 BUCKHANNON XRDS, STE 104",Buckhannon,WV,26201,304-557-2684,Upshur,Operational with product
56,The Next Level Wellness #2,"The Next Level Wellness #1, Inc","166 BERLIN RD, WESTON, WV 26452",166 BERLIN RD,Weston,WV,26452,,Lewis,Operational with product
57,Newleaf,"New Leaf WV, LLC","3227 EARL L CORE RD, MORGANTOWN, WV 26508",3227 EARL L CORE RD,Morgantown,WV,26508,,Monongalia,Operational with product
58,Country Grown Cannabis,"Harvest Care Medical, LLC","2689 5TH AVE, HUNTINGTON, WV 25702",2689 5TH AVE,Huntington,WV,25702,681-378-6175,Cabell,Operational with product
59,The Orchard Dispensary,"Curative Growth, Inc.","22 HANNAS RD, ROMNEY, WV 26757",22 HANNAS RD,Romney,WV,26757,304-359-2050,Hampshire,Operational with product
60,Newleaf,"New Leaf WV, LLC","161 MIDDLETOWN CIRCLE, #2, FAIRMONT, WV 26554","161 MIDDLETOWN CIRCLE, #2",Fairmont,WV,26554,304-460-0707,Marion,Operational with product
61,The Riverside Dispensary,"Curative Growth, Inc.","501 MERCHANT ST, FAIRMONT, WV 26554",501 MERCHANT ST,Fairmont,WV,26554,681-404-6020,Marion,Operational with product
63,Country Grown Cannabis,"Harvest Care Medical, LLC","2085 NATIONAL RD, WHEELING, WV 26003",2085 NATIONAL RD,Wheeling,WV,26003,304-905-8019,Ohio,Operational with product
64,Huntington Gardens,"Yuma Way WV, LLC","1338 3RD AVE, HUNTINGTON, WV 25701",1338 3RD AVE,Huntington,WV,25701,681-378-2848,Cabell,Operational with product
65,HCWV Sub LLC,HCWV Sub LLC,"808 DIVISION ST, PARKERSBURG, WV 26101",808 DIVISION ST,Parkersburg,WV,26101,681-229-1577,Wood,Operational with product
66,Greenlight,Beckley Retail,"68 CHEMISTRY DR, ELKINS, WV 26241",68 CHEMISTRY DR,Elkins,WV,26241,304-621-6156,Randolph,Operational with product
67,The Green House Dispensary,"Curative Growth, Inc.","2045 UNIVERSITY AVE, UNIT B, MORGANTOWN, WV 26505","2045 UNIVERSITY AVE, UNIT B",Morgantown,WV,26505,304-212-5249,Monongalia,Operational with product
68,Newleaf,"New Leaf WV, LLC","2390 MOUNTAINEER BLVD, SOUTH CHARLESTON, WV 25309",2390 MOUNTAINEER BLVD,South Charleston,WV,25309,,Kanawha,Operational with product
69,Greenlight,"Logan Investment Partners, LLC","1007 INDUSTRIAL DRIVE, SUITE A, SUMMERSVILLE, WV 26651","1007 INDUSTRIAL DRIVE, SUITE A",Summersville,WV,26651,681-628-0275,Nicholas,Operational with product
70,Kanacare Health,HCWV Sub LLC,"101 TYGART MALL LOOP, STE 102A, WHITE HALL, WV 26554","101 TYGART MALL LOOP, STE 102A",White Hall,WV,26554,304-816-3096,Marion,Operational with product
71,"Harvest Care Medical, LLC","Harvest Care Medical, LLC","9685 MALL LOOP #3467, FAIRMONT, WV 26554",9685 MALL LOOP #3467,Fairmont,WV,26554,304-816-3236,Marion,Operational with product
72,Country Grown Cannabis,"Harvest Care Medical, LLC","1005 DUNBAR AVE, DUNBAR, WV 25064",1005 DUNBAR AVE,Dunbar,WV,25064,304-848-7478,Kanawha,Operational with product
74,Country Grown Cannabis,"Harvest Care Medical, LLC","201 GEORGE KOSTAS DRIVE, LOGAN, WV 25601",201 GEORGE KOSTAS DRIVE,Logan,WV,25601,304-848-7478,Logan,Operational with product
75,"Harvest Care Medical, LLC","Harvest Care Medical, LLC","93 HICKORY DR, BECKLEY, WV 25801",93 HICKORY DR,Beckley,WV,25801,304-256-0346,Raleigh,Operational with product
76,The Landing Dispensary,"Mountaineer Releaf, LLC","63 DON KNOTTS BLVD, MORGANTOWN, WV 26508",63 DON KNOTTS BLVD,Morgantown,WV,26508,681-387-7832,Morgantown,Operational with product
77,Newleaf,"New Leaf WV, LLC","355 WAYFARER DRIVE, TRIADELPHIA, WV 26059",355 WAYFARER DRIVE,Triadelphia,WV,26059,304-578-5231,Ohio,Operational with product
78,The Landing Dispensary,"Tariff Labs, LLC","3761 TEAYS VALLEY RD, HURRICANE, WV 25526",3761 TEAYS VALLEY RD,Hurricane,WV,25526,681-387-7833,Putnam,Operational with product
