name,address
20 Chromosomes,"21701 Stevens Creek Blvd Suite 2611, Cupertino, CA 95015"
"3 Star Lettuce, LLC","PO Box 940, Gonzales, CA 93926"
A Seed Company Inc.,"399 Broadway Dr., Brea, CA 92821"
A. L. GIlbert Company,"PO Box 160, Keyes, CA 95328"
Abate-A-Weed Inc.,"9411 Rosedale Hwy, Bakersfield, CA 93312"
Aberle Acres Ranch,"21712 Adobe Road, Bakersfield, CA 93307"
ABHGardening LLC,"1225 Airport Park Blvd. #1062, Ukiah, CA 95482"
ACH Seeds,"5705 W. Old Shakopee Rd. Suite 110, Bloomington, MN 55437"
Adams Grain Co.,"PO Box 799, Arbuckle, CA 95912"
Advanta US LLC,"8872 HSC Parkway Suite 402, Bryan, TX 77807"
"AeroGrow International, Inc","14111 Scottslawn Road, Marysville, OH 43041"
AG Lawnmower Shop,"12707 Foothill Blvd., Sylmar, CA 91342"
AG RX,"751 S. Rose Ave., Oxnard, CA 93030"
Agave Sauve,"247 Bailey Rd. #18, Bay Point, CA 94555"
AgReliant Genetics LLC,"1122 E 169th Street, Westfield, IN 46074"
Agrifor Seeds LLC,"38267 Griggs Dr., Lebanon, OR 97355"
AgriGold,"1122 E 169th Street, Westfield, IN 46074"
"Agri-Turf Distributing, LLC","10551 Hathaway Drive, Santa Fe Springs, CA 90670"
Agriyeda Inc.,"40935 Avenida Arcada, Palm Desert, CA 92260"
Agrono-Tec Seed Co,"PO Box 1045, Morgan, UT 84050"
AgSeeds Unlimited,"28 N East Street, Woodland, CA 95776"
"Ahern Agribusiness, Inc.","9465 Customhouse Plaza Ste. G, San Diego, CA 92154"
Ahern International Inc.,"9465 Customhouse Plaza Ste. G, San Diego, CA 92154"
"Ahern International Seeds, Inc.","9465 Customhouse Plaza Ste. G, San Diego, CA 92154"
Ahern Seeds Inc.,"9465 Customhouse Plaza Ste. G, San Diego, CA 92154"
Alarcon Building Materials Inc.,"4308 S. Broadway, Los Angeles, CA 90037"
Albert Lea Seed House,"1414 W Main Street, PO Box 127, Albert Lea, MN 56007"
Allied Seed LLC,"9311 Highway 45, Nampa, ID 83686"
Allstar Seed Company,"2015 Silsbee Road, El Centro, CA 92243"
Alpha Seeds Inc.,"4125 Market Street, Unit 1, Ventura, CA 93003"
American Pima Seed,"PO Box 1440, Maricopa, AZ 85139"
American Pool Supply,"7440 State Highway 121, McKinney, TX 75070"
"American Takii, Inc.","301 Natividad Road, Salinas, CA 93906"
America's Alfalfa,"PO Box 64589, St. Paul, MN 55164"
"Amerland Company, LLC","33581 Mallard St, Woodland, CA 95695"
"Ampac Seed Co., Inc.","PO Box 318, Tangent, OR 97389"
Amturf Enterprises LLC,"13963 Westside Ln S, Jefferson, OR 97352"
Andrew's Lawnmower Shop,"13613 Van Nuys Blvd, Pacoima, CA 91331"
Antler King Trophy Production,"7148 State Highway 199, Upper Sandusky, OH 43351"
Anzen Hardware,"309 East First Street, Los Angeles, CA 90012"
Anzen Hardware & Supply Co.,"309 East First Street, Los Angeles, CA 90012"
Applewood Seed Company,"5380 Vivian St, Arvada, CO 80002"
Aqua-Gon,"7440 State Highway 121, McKinney, TX 75070"
Aquarius Supply,"7440 State Highway 121, McKinney, TX 75070"
"Arizona Grain, Inc.","PO Box 11188, Casa Grande, AZ 85130"
"Arizona Seed Technology, Inc.","16772 W. Bell Rd., Suite 110-428, Surprise, AZ 85374"
"Arkansas Valley Seed, Inc.","4300 N. Monaco St., Denver, CO 80216"
Arrowhead Seed Cleaning & Distribution,"PO Box N, Merrill, OR 97633"
Atlantic Landscape Materials,"7440 State Highway 121, McKinney, TX 75070"
Atlantic Mulch and Erosion Control,"7440 State Highway 121, McKinney, TX 75070"
Atlas Modern Technology Inc,"39098 Ave Bonita, Murrieta, CA 92562"
Automatic Supply,"7440 State Highway 121, McKinney, TX 75070"
AVSeeds,"4300 N. Monaco St., Denver, CO 80216"
"Axis Seed, LLC","107 N 9th Street, Adel, IA 50003"
Azteca Milling LP,"23865 Avenue 18, Madera, CA 93638"
B & E Lundberg,"PO Box 301, Richvale, CA 95974"
"Back To The Roots, Inc.","66 Franklin Street, Suite 300, Oakland, CA 94607"
Baglietto Seeds,"301 South Aurora St., Stockton, CA 95203"
Bailey Seed and Grain LLC,"30685 Highway 34, Albany, OR 97321"
Baker Creek Heirloom Seed Co. LLC,"110 Petaluma Blvd N Suite B, Petaluma, CA 94952"
Ball Horticultural Company,"622 Town Road, West Chicago, IL 60185"
"Bamert Seed Company, LLC","1897 CR 1018, Muleshoe, TX 79347"
Barenbrug USA,"PO Box 239, Tangent, OR 97389"
Barkley Seed Inc.,"PO Box 5540, Yuma, AZ 85366"
BASF Agricultural Solutions US LLC,"2 T W Alexander Drive, Research Triangle Park, NC 27713-"
BASF Corporation,"2 T W Alexander Drive, Research Triangle Park, NC 27713-"
Basin Fertilizer & Chemical Co.,"PO Box Drawer X, Merrill, OR 97633"
"Bass Pro Outdoor World, LLC","2500 E. Kearney Street, Springfield, MO 65898"
Bay Area Chrysanthemum Growers Assoc. Coop,"15075 Monterey Road, Morgan Hill, CA 95037"
Bayer CropScience LLC,"700 Chesterfield Parkway W, Building FF3 East, Chesterfield,"
BBB Seed,"6595 Odell Place Unit G, Boulder, CO 80301"
"Beacon Enterprises, Inc.","PO Box 7807, Santa Rosa, CA 95407"
Beacon Hemp,"PO Box 7807, Santa Rosa, CA 95407"
Beanstalks Farm,"8781 Petite Creek Dr., Graite Bay, CA 95661"
Beehive Brick & Stone,"7440 State Highway 121, McKinney, TX 75070"
Bejo Seeds Inc,"1972 Silver Spur Pl, Oceano, CA 93445"
Bel-Aqua Pool Supply,"7440 State Highway 121, McKinney, TX 75070"
Bentley Seeds Inc.,"16 Railroad Ave., Cambridge, NY 12816"
Berkeley Bowl Produce Inc.,"PO Box 8458, Emeryville, CA 94662"
Bernacchi & Sons Seed Sales,"1136 Corona Lane, Costa Mesa, CA 92629"
Beta Seed,"5705 W. Old Shakopee Rd. Suite 110, Bloomington, MN 55437"
BFG Supply Co.,"14500 Kinsman Road, Burton, OH 44021"
BFI Native Seeds Inc.,"1550 Pilgrim St - Suite A, Moses Lake, WA 98837"
"BH Genetics, a division of B-H Services, Inc.","5933 FM 1157, Ganado, TX 77962"
BHN Seed,"PO Box 3267, Immokalee, FL 34143"
Big Mike's Genetics,"PO Box 320523, Franklin, WI 53132"
"Big Sky Wholesale Seeds, Inc.","PO Box 852, Shelby, MT 59474"
Bloomin Flower Cards,"3080 Valmont Rd., Ste 130, Boulder, CO 80301"
"Bonanza Seeds International, Inc.","3818 Railroad Ave, Yuba City, CA 95991"
Bosworth Farms,"2640 Hoffman Road, Olivehurst, CA 95961"
Botanical Interests Inc,"660 Compton Street, Broomfield, CO 80020"
Brett -Young Seeds Limited,"Box 99 St. Norbert Postal Station, Winnipeg, Manitoba R3V"
Brotherton Seed Co. Inc.,"115 N. 1st St., Warden, WA 98857"
Bulbhead,"79 Two Bridges Road, Fairfield, NJ 07004"
Burlingham Seeds LLC,"PO Box 46, Rickreall, OR 97371"
Burpee Garden Products,"300 Park Ave., Warminster, PA 18974"
"Buttonwillow Warehouse Company, Inc.","3430 Unicorn Road, Bakersfield, CA 93308"
"Buzzy, Inc.","1410 Laurel Blvd., Suite 1, Pottsville, PA 17901"
Cal Grow Seeds LLC,"2330 A Street Unit C, Santa Maria, CA 93455"
Cal Sun Seeds Company,"21712 Adobe Road, Bakersfield, CA 93307"
Cal-Bean & Grain Co-op Inc,"Drawer D, Pixley, CA 93256"
"California Ag Solutions, Inc.","3451 Yeager Drive, Madera, CA 93637"
"California Corn Growers, Inc","PO Box 726, Chowchilla, CA 93610"
California Family Foods,"PO Box 1230, Arbuckle, CA 95912"
"California Seed Production, Inc.","PO Box 848, Gilroy, CA 95021"
California Turf Equipment and Supply,"856 N. J Street, Tulare, CA 93274"
Calirooted,"3860 Industrial Way, Benicia, CA 94570"
Cals Silage,"P.O.B. 399, Goshen, CA 93227"
Cameron C. Kaelin Farming,"520 Market Street Ste #2, Colusa, CA 95932"
Cannappy LLC,"1401 21 St., Suite #2541, Sacramento, CA 95811"
Castle Dome Seed LLC,"4796 E. 30th Place, Yuma, AZ 85365"
Catlett Warehouse,"PO Box 8, Rio Oso, CA 95674"
"CBM Warehouses, Inc.","PO Box 562, Biggs, CA 95917"
Central Bean Company Inc.,"PO BOX 215, Quincy, WA 98848"
Central California Implement Company,"PO Box 1056, Tulare, CA 93275"
"Central Coast Seed Production, Inc.","539 East Redwood Street, Hanford, CA 93230"
Central Valley Seeds Inc,"1881 South Leonard Avenue, Sanger, CA 93657"
"Channel Bio, LLC","700 Chesterfield Pkwy W, Building FF3 E, Chesterfield, MO"
Charles Mathews,"8800 Mathews Lane, Marysville, CA 95901"
Chia Tai Seeds Co. LTD,"1 Soi Sukhumvit 60 Phra Khanong Tai, Sub-District Phra"
Cinderella,"7440 State Highway 121, McKinney, TX 75070"
Circle S Seeds of Montana Inc.,"PO Box 130, Three Forks, MT 59752"
CN Seeds Ltd.,"Pymoor, Ely, Cambridgeshire CB6 2ED UK, 2ED,UK"
"Coastal Growers Supply, Inc.","1450 Solomon Rd, Santa Maria, CA 93455"
"Colorado Seeds, Inc.","115 W. California Blvd. Ste. 197, Pasadena, CA 91105"
"Columbia River Seed, LLC","PO Box 66, Plymouth, WA 99346"
Columbia Seed Co. Ltd.,"Box 80, Vauxhall, Alberta ToK 2K0,Canada"
Columbia Seeds LLC,"130 NW Hickory Street, Albany, OR 97321"
Colusa Produce Corporation,"1954 Progress Road, Meridian, CA 95957"
Compton Ag Services LLC,"19751 South Defrain Blvd., Blythe, CA 92225"
Condor Seed Production. Inc.,"PO Box 6485, Yuma, AZ 85364"
Cornucopia Seeds,"6060 Graham Hill Road ste C, Felton, CA 95018"
"Corona Seeds, Inc.","725 W. Ventura Blvd. Unit J, Camarillo, CA 93010"
"Corteva Agriscience MCS, LLC","1000 W. Jefferson St, Tipton, IN 46072"
County Line Warehouse Inc.,"PO Box 175, Dunnigan, CA 95937"
Cover Crop Seed Company,"13 Turpintine Drive, Nevada City, CA 95959"
"Cowley D&L, Inc.","PO Box 100, Grenada, CA 96038"
CPS Distributors,"7440 State Highway 121, McKinney, TX 75070"
"Crites Seed, Inc.","PO Box 8912, Moscow, ID 83843"
Crookham Company,"PO Box 520, Caldwell, ID 83606"
Cucumber Shop,"371 Marigold Drive, Fairfield, CA 94533"
D and D Seeds and Farm Equipment Sales,"5013 Washburn Way, Klamath Falls, OR 97603"
"D. B. Hannam Chain, Inc.","21080 Golden Springs Road, Diamond Bar, CA 91789"
Dans Feed & Seed,"240 East 4th Street, Perris, CA 92570"
David L. Bourland,"1414 West 8th Street, Alturas, CA 96101"
Davis Supply,"7440 State Highway 121, McKinney, TX 75070"
De Corato Sementi S.R.L.,"S.P.2 (ex S.P.231) Km.50,800, 76123 Andria/BT,Italy"
"Delta Growers, Inc.","PO BOX 169, Stockton, CA 95201"
Demeter Corporation,"2591 W. Elkhorn Blvd., Rio Linda, CA 95673"
DePue Warehouse Company,"PO Box 490, Williams, CA 95987"
Derry Warehouse Co.,"PO Box 16, Rickreall, OR 97371"
"Dixon Seed, Inc.","7920 County Road 29, Glenn, CA 95943"
DLF,"33080 Red Bridge RD SE, Albany, OR 97322"
DLF USA Inc.,"33080 Red Bridge RD SE, Albany, OR 97322"
Do It Best Corp,"1626 Broadway Suite#100, Fort Wayne, IN 46802"
Down With Plants LLC,"2225 E. Cesar E Chavez Avw #187, Los Angeles, CA 90033"
Dream and Grow Gardens,"2040 River Road, Norco, CA 92860"
Dream and Grow Gardens LLC,"2040 River Road, Norco, CA 92860"
"Duarte Nursery, Inc.","1555 Baldwin Rd, Hughson, CA 95326"
Duk's Lawnmower,"9519 Van Nuys Blvd., Panarama City, CA 91402"
Dyna Gor Seeds,"PO Box 1286, Greeley, CO 80632"
E Franklin Larrabee & Associates,"250 Vallombrosa Ave. Suite 370, Chico, CA 95926"
Eagle Creek Organics,"4151 Statee Highway 16, Guinda, CA 95637"
Earthwork Seeds,"1477 Drew Ave Ste 102, Davis, CA 95618"
Econ Hardware,"725 Imperial Ave, Calexico, CA 92231"
Ed Hume Seeds Inc,"PO Box 73160, Puyallup, WA 98373"
El Centro Storage,"7339 Pacific Avenue, Pleasant Grove, CA 95668"
"El Ray Seed, Inc.","110 Carton Dr., Del Rey Oaks, CA 93940"
Elite International LLC,"45 Cherry St., Quincy, MA 02169"
Emerald Seed Company,"PO Box 1670, El Centro, CA 92244"
EMSCO,"7440 State Highway 121, McKinney, TX 75070"
EnRoot Products LLC,"30 New Lane, Cormwell, CT 06416"
Enviro Networks Inc.,"14375 Saratoga Ave. Ste#205, Saratoga, CA 95070"
"Environmental Seed West, LLC","3930 Moon Road, Connell, WA 99326"
Environmental Seeds West LLC,"1697 West 2100 North, Lehi, UT 84043"
"Enza Zaden U.S.A., Inc","7 Harris Place, Salinas, CA 93901"
ES OpCo USA LLC,"1614 S-2 Malborough Ave, Riverside, CA 92507"
Evangelho Seed Co. Inc.,"PO Box 694, Lemoore, CA 93245"
"Evermore Genetics, Inc.","309 Cedar St. 1-C, Santa Cruz, CA 95060"
Everwilde Farms,"560 Industrial Way, Fallbrook, CA 92028"
Everwilde Farms Inc,"560 Industrial Way, Fallbrook, CA 92028"
"Ewing Irrigation Products, Inc","3441 East Harbour Drive, Phoenix, AZ 85034"
Excel Garden Products,"PO Box 338, Greenfield, MO 65660"
Expert Gardener,"300 Park Ave, Warminster, PA 18974"
"Family JS, Inc.","244 W. Holt Ave, Pomona, CA 91768"
Farm Fuel Inc.,"PO Box 1413, Freedom, CA 95019"
Farm Supply,"624 East Service Road, Modesto, CA 95358"
Farm Supply Company,"PO Box 111, San Luis Obispo, CA 93406"
Farm Valley,"624 East Service Road, Modesto, CA 95358"
Farmers Grain Elevator,"PO Box 220, Yolo, CA 95697"
Farmers Rice Cooperative,"2566 River Plaza Drive, Sacramento, CA 95833"
Farmtiva,"21977 Highway 79 #411, Santa Ysabel, CA 92070"
Fawaz Farming,"349 Collier Way, Etna, CA 96027"
"FBN Inputs, LLC","1887 Whitney Mesa Drive, Henderson, NV 89014"
"Fertizona Casa Grande, AZ","2850 South Peart Road, Casa Grande, AZ 85193"
Fireag Nursery,"PO Box 1178, Tulare, CA 93275"
FIS Outdoor,"7440 State Highway 121, McKinney, TX 75070"
FloraFields Gardens Inc.,"2438 Industrial Blvd. Apt. 830, Abilene, TX 79605"
Flower Seed Kits,"917 Harris St., Eau Claire, WI 54703"
Flowering Lawn Inc.,"917 Harris St., Eau Claire, WI 54703"
Fly High Seeds LLC,"209 S. Citrus Ave, Ste 1/2, Covina, CA 91723"
"Forage Genetics International, LLC","PO Box 64589, St. Paul, MN 55164"
Forbes Seed & Grain Inc.,"PO Box 85, Junction City, OR 97448"
"Foster-Gardner, Inc.","1577 1st Street, Coachella, CA 92236"
Foundation Seed Progam-UCD,"1210 PES Building, Davis, CA 95616"
Freedom Farms,"4103 W. Adams Blvd., Los Angeles, CA 90018"
Fresh Harvest Seed LLC,"4102 Chamomile Ct., San Bernardino, CA 92407"
Frisco,"6 Hamilton Landing, Suite 150, Novato, CA 94949"
Frizelle Enos Feeds,"PO Box 183, Penngrove, CA 94951"
Frontier Trailer Sales,"5013 Washburn Way, Klamath Falls, OR 97603"
FWP Pool& Spa,"7440 State Highway 121, McKinney, TX 75070"
"Gallagher Farming Company, LLC","8661 Ceres Avenue, Knights Landing, CA 95645"
Garden and Homestead Anywhere LLC,"190 Main St., Rio Vista, CA 94571"
Garden Treads Inc,"355 Paul Road, Rochester, NY 14624"
"Gardener's Supply, Inc.","4208 Rosedale Hwy, Bakersfield, CA 93308"
"Genflora, LLC","21710 Stevens Creek Blvd. #200, Cupertino, CA 95014"
Genome Seeds USA,"3301 Sunrise Blvd Ste 4, Rancho Cordova, CA 95742"
"Glenflora Greenhouse, LLC","21710 Stevens Creek Blvd. #200, Cupertino, CA 95014"
Global Seeds Agricultural Est.,"Office 101 Global Seeds Complex 12,, Issa Ahmed Khlaef"
Global Stone Resource,"7440 State Highway 121, McKinney, TX 75070"
Golden Acres,"1122 E 169th Street, Westfield, IN 46074"
Golden Prairie,"PO Box 2, Nunn, CO 80648"
Golden Valley Seed,"202 E. Main Street, El Centro, CA 92243"
Gongzhiwei Co.,"5319 University Dr, Ste.367, Irvine, CA 92612"
Gowan Seed Company,"PO Box 190, Chualar, CA 93925"
Grandiflora Genetics,"21701 Stevens Creek Blvd Suite 2611, Cupertino, CA 95015"
Grangeville Air Service,"4036 Pleasant Grove Rd, Pleasant Grove, CA 95668"
Granite Seed,"1697 West 2100 North, Lehi, UT 84043"
Great Basin Seed,"450 South 50 East, Ephraim, UT 84627"
Great Basin Supply LLC,"270 Descanso Lane, Sparks, NV 89441"
Green Cover Seed,"918 Road X, Bladen, NE 68928"
Green Garden Products,"202 South Washington St, Norton, MA 02766"
"Green Valley Farm Supply, Inc.","PO Box 950, Gonzales, CA 93926"
Green Velvet Sod,"7440 State Highway 121, McKinney, TX 75070"
GreenGo Seed LLC,"PO Box 158, Wellton, AZ 85356"
GreenHouse Blooms Nursery,"190 Main St., Rio Vista, CA 94571"
"Greenland Supply, Inc.","826 S. La Brea Ave, Inglewood, CA 90301"
Greenleaf Seed Co.,"PO Box 2319, Blythe, CA 92226"
Greensward- New Natives LLC,"1255 Hames Rd, Aptos, CA 95003"
Greenway Seed Co.,"16180 S. Kimball Ave., Caldwell, ID 83607"
Griffin Greenhouse Supplies,"1619 Main Street, Tewksbury, MA 01876"
"Griffin Seed International, LLC","3815 SW Culver Hwy, Metolius, OR 97741"
Grow it From Home,"11577 Williams Hwy, Grants Pass, OR 97527"
Grow West,"201 East Street, Woodland, CA 95776"
GTI Wholesale,"355 Paul Road, Rochester, NY 14624"
"Gunsmoke, LLC","PO Box 187, Wellton, AZ 85356"
H & A Hybrid Seed Company,"3030 Thorntree Drive, Suite#4, Chico, CA 95973"
H.E.D. Seed Productions Ltd. Inc.,"PO Box 616, Salida, CA 95368"
Hachik Distributors,"7440 State Highway 121, McKinney, TX 75070"
Hacienda Lawnmower,"1130 N. Hacienda Blvd, La Puente, CA 91744"
Hale Habitat and Seed,"PO Box 234, Digeon Falls, WI 54760"
Hamama,"2511 Del Monte Street, West Sacramento, CA 95691"
"Hancock Farm & Seed Co., Inc.","18724 Hancock Farm Road, Dade City, FL 33523"
Handy Pantry,"175 W 2700 South #150, Salt Lake City, UT 84115"
Harmony Farm Supply,"PO Box 460, Graton, CA 95444"
"Harrell's, LLC.","PO Box 807, Lakeland, FL 33802"
Harris Seeds,"355 Paul Road, Rochester, NY 14624"
Harvest Bounty,"87194 494 Avenue, O'Neill, NE 68763"
Harvest Hope,"4103 W. Adams Blvd., Los Angeles, CA 90018"
"Hayworth Seed Warehouse, Inc.","PO Box 269, Harrisburg, OR 97446"
Hazera Seeds Inc.,"3155 SW 10th Street, Suite L, Deerfield Beach, FL 33442"
Hedgerow Farms,"PO Box 1275, Carpinteria, CA 93014"
Heinz Seed,"6755 C.E. Dixon Street, Stockton, CA 95206"
"Helena Agri-Enterprises, LLC","1010 W. Alluvial, Ste 101, Fresno, CA 93711"
Henry F. Michell Company,"225 W. Church Rd., King of Prussia, PA 19406"
Heritage Landscape Supply Group,"7440 State Highway 121, McKinney, TX 75070"
Heritage Professional Products Group,"7440 State Highway 121, McKinney, TX 75070"
High Alpine Genetics,"1210 Bennett Avenue, Glennwood Springs, CA 81601"
High Mowing Organic Seeds,"76 Quarry Road, Wolcott, VT 05680"
High Mowing Seed Company,"76 Quarry Road, Wolcott, VT 05680"
"High Performance Seeds, Inc.","PO Box 474, Moses Lake, WA 98837"
High Tech Irrigation Inc,"74-773 Joni Drive, Palm Desert, CA 92260"
"Highline Grain Growers, Inc.","PO Box 185, Reardan, WA 99029"
HLS Outdoor,"7440 State Highway 121, McKinney, TX 75070"
"HM.Clause, Inc.","260 Cousteau Place Suite 210, Davis, CA 95618"
"Hobby Lobby Stores, Inc.","7707 SW 44TH Street, Oklahoma City, OK 73179"
"Holaday Seed Company, Inc.","820 Park Row #616, Salinas, CA 93901"
Hollar & Company Inc.,"PO Box 106, Rocky Ford, CO 81067"
Hollar Seeds,"PO Box 106, Rocky Ford, CO 81067"
Holt Garden Center,"11602 Ramona Ave, Chino, CA 91710"
Homeward Bounty Farm,"1805 Timmons Road, Grenada, CA 96038"
Horib Slilan Halo Trade Inc.,"30511 Cheyenne PI, Fulshear, TX 77423"
Horizon Distributors Inc.,"109 Northpark Blvd. 4th Floor, Covington, LA 70433"
House of Esperanza,"2866 Tango Lane, Brentwood, CA 94513"
Hubbard Seed & Supply Co.,"PO Box 310, Hubbard, OR 97032"
Hudson Valley Seed Co.,"4737 RT. 209, Accord, NY 12404"
Hudson Valley Seed Library LLC,"4737 RT. 209, Accord, NY 12404"
"Hunt & Behrens, Inc","30 Lakeville Street, Petaluma, CA 94952"
I Heart California Native Plants,"1598 Sir Francis Drake Blvd., Apt 7, San Anselmo, CA 94960"
"Illinois Foundation Seeds, Inc","1083 County Road 900 North, Tolono, IL 61880"
"IMLL, LLC.","287 Hwy 72 West, PO Box 389, Kenedy, TX 78119"
"Imperial Sprinkler Supply, LLC","7440 State Highway 121, McKinney, TX 75070"
Imperial Valley Milling Company,"PO Box 387, Holtville, CA 92250"
Imperial Vegetable Seeds Inc,"1101 South McCullom, El Centro, CA 92243"
Inc.,
Infante Bros Lawnmower,"4210 Marine Ave, Lawndale, CA 90260"
Infinite Commerce,"2511 Del Monte Street, West Sacramento, CA 95691"
Infinite Tree Inc.,"11577 Williams Hwy, Grants Pass, OR 97527"
Infiniti Noal Commerce LLC,"1219 Park St, APT A, Alameda, CA 94501"
"Innvictis Seed Solutions, LLC","PO Box 9296, Boise, ID 83707"
Integra Seed,"87194 494 Avenue, O'Neill, NE 68763"
IntegraTurf Inc.,"PO Box 1867, Albany, OR 97321"
"InterMountain Ag, Inc.","6009 Andrews Rd, Dorris, CA 96023"
Ioka Marketing LLC,"13512 Doerfler Road SE, Silverton, OR 97381"
Irrigation Station,"7440 State Highway 121, McKinney, TX 75070"
Irrigation Supply,"7440 State Highway 121, McKinney, TX 75070"
ISI Sementi Brand,"Frazione Ponte Ghiara, 8/A, 43036 Fidenza (PR), Italy,Italy"
Its Raw Genetics LLC,"13089 Peyton Crive Suite C 192, Chino Hill, CA 91709"
Ivan's Meadow,"226 W. Ojai Ave Ste101-429, Ojai, CA 93023"
J & K Distribution Company,"3860 Industrial Way, Benicia, CA 94570"
J J Lawnmower Shop Inc,"8893 Laurel Canyon Blvd., Sun Valley, CA 91352"
J.G. Boswell Company,"PO Box 457, Corcoran, CA 93212"
"J.L. Hudson, Seedsman","PO Box 337, La Honda, CA 94020"
Jack Hempicine LLC,"3395 S Pacific Hwy W, Independence, OR 97351"
James Sligar Rice Seed,"PO Box 543, Biggs, CA 95917"
Japan,
Jensen & Pilegard,"2510 North Blackstone Avenue, Fresno, CA 93703"
Jill's Market Garden,"16165 Main Street #1701, Lower Lake, CA 95457"
Johnny's Selected Seeds,"955 Benton Ave, Winslow, ME 04901"
John's Lawnmower and Saw,"11327 Burbank Blvd, North Hollywood, ca 91601"
Johnston Seed Co.,"PO Box 1392, Enid, OK 73701"
Jonathan Green Inc.,"PO Box 326, Farmingdale, NJ 07727"
Joy Land Inc.,"11327 Burbank Blvd, North Hollywood, ca 91601"
Jyllene Genetics,"140 Shoreline Circle, Apt. 484, San Ramon, CA 94582"
K.C. Trading co.,"12935 Park St., Santa Fe Springs, CA 90670"
Kairos Seed,"1172 South Main St. Ste. 123, Salinas, CA 93901"
Kalmbach Feeds Inc,"7148 State Highway 199, Upper Sandusky, OH 43351"
Kalmia Sales,"41891 Kalmia St #A, Murrieta, CA 92562"
Kamprath Seed LP,"PO Box 1275, Carpinteria, CA 93014"
"Kayagene, LLC","10 San Miguel Ave, Salinas, CA 93901"
Keithly-Williams Seeds,"5702 W CO 8 1/2 St., Yuma, AZ 85364"
Kelly Green Seeds,"120 South Lawton Avenue, Hereford, TX 79045"
Kern Turf Supply Inc.,"3642 Alken St, Bakersfield, CA 93308"
K-F Seeds,"4307 Fifield Road, Brawley, CA 92227"
"Khanong District, Bankonk 10260 Thailand,",
"Kimberly Seeds International, LLC","PO Box C, Kimberly, ID 83341"
Kitchen & Cookware Inc.,"12935 Park St., Santa Fe Springs, CA 90670"
Kitizawa Seed Co.,"175 W 2700 South #150, Salt Lake City, UT 84115"
Klien Karoo Seed Production,"1 Kooperasie Street, PO Box 241, Oudtshoorn, 6620 South"
Known-You Seed America Corporation,"26360 Ruether Ave, Santa Clarita, CA 91350"
"Kola Genetic, LLC","10 San Miguel Ave, Salinas, CA 93901"
"Kola Seed, LLC","10 San Miguel Ave, Salinas, CA 93901"
Kraft Heinz Company,"6755 C.E. Dixon Street, Stockton, CA 95206"
K's Seeds,"8392 Blue Rose Ct, Citrus Heights, CA 95610"
Kwak & Lim Corporation,"PO Box1210, Chino Hills, CA 91709"
Kwong Sang Lung Co.,"941 Grant Avenue, San Francisco, CA 94108"
"KWS Cereals USA, LLC","495 County Road 1300 N, Champaign, IL 61822"
KWS Seeds LLC,"5705 W. Old Shakopee Rd. Suite 110, Bloomington, MN 55437"
